
1	Bugey-4		0.538	0.078	0.328	0.056	0.932	1.4	1.4	3.0	15
2	Rovno91		0.606	0.074	0.277	0.043	0.930	2.8	1.4   2.9	18
3	Rovno88-1I		0.607	0.074	0.277	0.042	0.907	6.4	3.1 2.2	2.9	18
4	Rovno88-2I		0.603	0.076	0.276	0.045	0.938	6.4	3.1 2.2     2.9	18
5	Rovno88-1S		0.606	0.074	0.277	0.043	0.962	7.3	3.1 2.2     2.9	18
6	Rovno88-2S		0.557	0.076	0.313	0.054	0.949	7.3	3.1 2.2     2.9	25
7	Rovno88-2S		0.606	0.074	0.274	0.046	0.928	6.8	3.1                                              	2.9	18
8	Bugey-3-15		0.538	0.078	0.328	0.056	0.936	4.2	4.0                        	3.0	15
9	Bugey-3-40		0.538	0.078	0.328	0.056	0.942	4.3	                                               	3.0	40
10	Bugey-3-95		0.538	0.078	0.328	0.056	0.867	15.2	                                               	3.0	95
11	Gosgen-38		0.619	0.067	0.272	0.042	0.955	5.4	2.0 3.8	2.8	37.9
12	Gosgen-46		0.584	0.068	0.298	0.050	0.981	5.4	                                               	2.9	45.9
13	Gosgen-65		0.543	0.070	0.329	0.058	0.915	6.7	                                               	2.9	64.7
14	ILL			1	0	0	0	0.792	9.1	                                               	2.1	8.76
15	Krasnoyarsk87-33	1	0	0	0	0.925	5.0	4.1	2.1	32.8
16	Krasnoyarsk87-92	1	0	0	0	0.942	20.4	                       	2.1	92.3
17	Krasnoyarsk94-57	1	0	0	0	0.936	4.2	0                      	2.1	57
18	Krasnoyarsk99-34	1	0	0	0	0.946	3.0	0                      	2.1	34
19	SRP-18		1	0	0	0	0.941	2.8	0	2.1	18.2
20	SRP-24		1	0	0	0	1.006	2.9	0	2.1	23.8
21	Nucifer		0.926	0.061	0.008	0.005	1.014	10.7	0	2.7	7.2
22	Chooz			0.496	0.087	0.351	0.066	0.996	3.2	0	3.1	 1000
23	PaloVerde		0.600	0.070	0.270	0.060	0.997	5.4	0	2.9	 800
25	RENO			0.569	0.073	0.301	0.056	0.944	2.2	0	2.9	 411
26	DoubleChooz		0.511	0.087	0.340	0.062	0.935	1.4	0	3.1	 415
24	DayaBay		0.561	0.076	0.307	0.056	0.946	2.0	0	2.9	 550
